Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
2591,http://www.complaintsboard.com,1,1,1,1,1
2602,http://www.neatorama.com,1,1,1,1,1
2612,http://www.fieldandstream.com,10,10,10,10,10
2617,http://www.democratsenators.org,10,10,10,10,10
2632,http://www.wholefoodsmarket.com,1,1,1,1,1
2633,http://www.haaretz.com,-1,1,-1,1,1
2636,http://www.everytrail.com,1,1,1,1,1
2644,http://www.hotfrog.com,1,1,1,1,1
2663,http://www.remax.com,1,1,1,1,1
2665,http://www.readability.com,1,1,1,1,1
2677,http://www.mysurvey.com,11,1,11,1,1
2709,http://www.collegeprowler.com,10,10,10,10,10
2721,http://www.thefreelibrary.com,14,14,14,14,14
2724,http://www.wpcentral.com,1,1,1,1,1
2732,http://www.linksys.com,1,1,1,1,1
2744,http://www.whiotv.com,1,1,1,1,1
2745,http://www.automobilemag.com,1,1,1,1,1
2765,http://www.pizap.com,1,1,-1,1,1
2772,http://www.knoxnews.com,13,1,13,1,1
2791,http://www.crosscards.com,1,1,1,1,1
2810,http://www.trails.com,1,1,1,1,1
2849,http://www.tennessean.com,12,1,12,1,1
2856,http://www.coolsavings.com,3,1,3,1,1
2859,http://www.hi5.com,1,1,1,1,1
2876,http://www.redrobin.com,1,1,1,1,1
2888,http://www.crunchbase.com,10,10,10,10,10
2889,http://www.mynewplace.com,-1,1,-1,1,1
2891,http://www.topspeed.com,1,1,1,1,1
2907,http://www.punchtab.com,1,1,1,1,1
2915,http://www.menupix.com,10,10,10,10,10
2921,http://www.justdial.com,1,1,1,1,1
2931,http://www.palmbeachpost.com,1,1,1,1,1
2937,http://www.windstream.net,1,1,1,1,1
2939,http://www.lyrics.com,1,1,1,1,1
2940,http://www.kirotv.com,1,1,1,1,1
2943,http://www.billingsgazette.com,1,1,1,-1,-1
2944,http://www.officer.com,1,1,1,1,1
2951,http://www.repubblica.it,1,1,1,1,1
2952,http://www.smarturl.it,1,1,1,1,1
2954,http://www.atgstores.com,20,1,20,1,1
2968,http://www.vw.com,1,1,1,1,1
2973,http://www.jackspade.com,1,1,1,1,1
2999,http://www.joyus.com,1,1,-1,1,1
3006,http://www.manualslib.com,1,1,1,1,1
3046,http://www.pawnation.com,1,1,1,1,1
3049,http://www.vube.com,-1,1,-1,1,1
3053,http://www.hotelsavings.com,-1,1,-1,1,1
3063,http://www.wsoctv.com,1,1,1,1,1
3064,http://www.aarp.net,1,1,1,1,1
3083,http://www.ktvu.com,1,1,1,1,1
3088,http://www.photo.net,1,1,1,-1,-1
3089,http://www.sonyrewards.com,11,1,11,1,-1
3099,http://www.gobookee.net,14,14,14,14,14
3100,http://www.vk.com,1,1,1,1,1
3107,http://www.theberry.com,1,1,1,1,1
3109,http://www.journalstar.com,2,2,2,2,2
3115,http://www.myview.com,12,1,12,1,1
3126,http://www.armorgames.com,23,1,23,1,1
