Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
http://www.insiderpages.com,3,1,3,1,1
http://www.azfamily.com,1,1,1,-1,1
http://www.nikonusa.com,1,1,1,1,1
http://www.courant.com,1,1,1,1,1
http://www.timesdispatch.com,11,1,11,-1,-1
http://www.ratemds.com,10,10,10,10,10
http://www.ancientfaces.com,-1,1,-1,1,1
http://www.trysensa.com,1,1,1,1,1
http://www.ae.com,-1,1,-1,1,1
http://www.accessatlanta.com,1,1,1,1,1
http://www.iwin.com,3,1,3,1,1
http://www.digitalpoint.com,24,1,24,-1,-1
http://www.minyanville.com,-1,1,-1,1,1
http://www.artfire.com,10,10,10,10,10
http://www.baseball-reference.com,1,1,1,1,1
http://www.everydayfamily.com,1,1,1,1,1
http://www.songkick.com,-1,1,1,1,1
http://www.findthedata.org,-1,1,-1,1,1
http://www.shopsocially.com,12,1,12,1,1
http://www.desmoinesregister.com,12,1,12,1,1
http://www.globaltestmarket.com,11,1,11,1,1
http://www.voanews.com,1,1,-1,1,1
http://www.katespade.com,1,1,1,1,1
http://www.vevo.com,23,1,23,1,1
http://www.carsdirect.com,1,1,1,1,1
http://www.revolutiongolf.com,10,10,10,10,10
http://www.brightlist.com,1,1,1,1,1
http://www.fitbit.com,23,1,23,-1,-1
http://www.wral.com,1,1,1,1,1
http://www.nwitimes.com,2,2,2,2,2
http://www.wnyc.org,1,1,1,1,1
http://www.vladtv.com,1,1,1,1,1
http://www.crocs.com,1,1,1,1,1
http://www.wikimapia.org,-1,1,-1,1,1
http://www.truecar.com,1,1,1,1,1
http://www.animoto.com,-1,1,-1,1,1
http://www.fncstatic.com,1,1,1,1,1
http://www.nbcconnecticut.com,1,1,1,1,1
http://www.zinio.com,1,1,1,1,1
http://www.tripadvisor.it,1,1,1,1,1
http://www.bestplaces.net,1,1,1,1,1
http://www.omahasteaks.com,1,1,1,1,1
http://www.wftv.com,1,1,1,1,1
http://www.pingg.com,1,1,1,1,1
http://www.skillpages.com,-1,1,-1,1,1
http://www.thesuperficial.com,-1,1,-1,1,1
http://www.addictinggames.com,1,1,1,1,1
http://www.cesarsway.com,1,1,1,1,1
http://www.gofundme.com,10,10,10,10,10
http://www.allfreecrochet.com,-1,1,-1,1,1
http://www.trustlink.org,3,1,3,1,-1
http://www.ebates.com,1,1,1,1,1
http://www.justia.com,3,1,3,1,1
http://www.agoda.com,12,1,12,1,1
http://www.topicologist.com,1,1,1,1,1
http://www.complaintsboard.com,1,1,1,1,1
http://www.neatorama.com,1,1,1,1,1
http://www.fieldandstream.com,3,1,3,1,1
http://www.wholefoodsmarket.com,1,1,1,1,1
http://www.haaretz.com,-1,1,-1,1,1
http://www.everytrail.com,1,1,1,1,1
http://www.hotfrog.com,1,1,1,1,1
http://www.remax.com,1,1,1,1,1
http://www.readability.com,1,1,1,1,1
