Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.woobox.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,3,0,2,0,0,2,0
http://www.movoto.com,TRUE,2,7,0,0,0,0,0,0,0,2,1,0,0,0,40,0,0,0,0,0,3,0,2,0,0,0,0
http://www.pissedconsumer.com,TRUE,1,11,-1,0,-1,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.easybib.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.stubhub.com,FALSE,1,15,0,0,0,0,3,1,0,0,0,3,0,0,,,,,,,,,,,,,
http://www.techbargains.com,FALSE,2,6,0,0,0,1,0,0,0,2,0,0,0,0,19,0,5,0,6,1,0,0,1,0,0,0,0
http://www.independent.co.uk,TRUE,1,13,-1,0,-1,0,0,3,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.yellowbook.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.art.com,FALSE,2,7,-1,0,-1,0,0,0,0,3,0,0,0,0,49,0,0,0,0,0,4,0,1,0,0,0,0
http://www.dexknows.com,FALSE,1,12,-1,1,-1,0,1,2,0,1,0,0,1,0,,,,,,,,,,,,,
http://www.garmin.com,FALSE,2,7,1,2,1,2,0,0,0,1,2,0,0,0,41,-1,0,-1,0,0,3,0,2,1,0,0,0
http://www.meijer.com,TRUE,2,6,-1,1,-1,0,0,0,0,1,1,0,2,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.guitarcenter.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,1,0,10,1,2,1,2,0,1,0,0,0,0,0,0
http://www.cheaptickets.com,TRUE,2,6,0,0,0,0,0,0,0,1,1,0,1,0,53,0,0,0,0,0,4,0,5,0,0,1,0
http://www.telldc.com,TRUE,2,5,0,0,0,0,0,0,0,1,0,0,0,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.dealspl.us,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,39,0,0,0,0,1,2,1,0,0,0,0,0
http://www.bizjournals.com,TRUE,2,7,0,0,0,0,0,0,0,1,2,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0
http://www.majorleaguegaming.com,TRUE,2,6,-1,-1,-1,3,0,0,0,0,0,0,2,0,39,0,0,0,0,0,3,0,1,0,0,0,0
http://www.caranddriver.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
